source_text_sample	source_hash	occurrences	surface_count	surfaces	locations	manual_translations
BuuHan	69dbbd74147b	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:7:5202512:0 | tbl:tbl1.pak:0x017AA5C1	
Call Dragon	2bb7f16595b6	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_CONFIRM_GET_2 | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_CONFIRM_GET_2	
Can't join Dragon Ball scramble	5a115ce9e306	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_RETURN_MSG | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_RETURN_MSG	
Can't trade Dragon Ball	5b38da658ce3	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_CAN_NOT_TRADE_TARGET | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_CAN_NOT_TRADE_TARGET	
Can't use skill while buuhan 2.	7059f89e9b40	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_BUUHAN_SKIN2 | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_BUUHAN_SKIN2	不能在布欧悟饭2形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_BUUHAN_SKIN2] | 不能在布欧悟饭2形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_BUUHAN_SKIN2]
Can't use skill while buuhan.	498a15dde7d6	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_BUUHAN_SKIN | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_BUUHAN_SKIN	不能在布欧悟饭形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_BUUHAN_SKIN] | 不能在布欧悟饭形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_BUUHAN_SKIN]
Can't use skill while dark namek.	194c1f6943ac	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_DARK_NAMEK | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_DARK_NAMEK	不能在黑暗那美克形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_DARK_NAMEK] | 不能在黑暗那美克形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_DARK_NAMEK]
Can't use skill while evil boo.	179fc49d6d95	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_EVIL_BOO | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_EVIL_BOO	不能在邪恶布欧形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_EVIL_BOO] | 不能在邪恶布欧形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_EVIL_BOO]
Can't use skill while evil namek.	aa65620d59cd	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_EVIL_NAMEK | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_EVIL_NAMEK	不能在邪恶那美克形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_EVIL_NAMEK] | 不能在邪恶那美克形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_EVIL_NAMEK]
Can't use skill while gotenks boo magic.	219c549949c7	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_GOTENKS_BOO_MAG | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_GOTENKS_BOO_MAG	不能在悟天克斯布欧魔法形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_GOTENKS_BOO_MAG] | 不能在悟天克斯布欧魔法形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_GOTENKS_BOO_MAG]
Can't use skill while gotenks boo.	a6c331d4c0a8	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_GOTENKS_BOO_FIS | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_GOTENKS_BOO_FIS	不能在悟天克斯布欧形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_GOTENKS_BOO_FIS] | 不能在悟天克斯布欧形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_GOTENKS_BOO_FIS]
Can't use skill while great ape.	cf28ad1ec799	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_BIG_MONKEY | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_BIG_MONKEY	不能在大猿形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_BIG_MONKEY] | 不能在大猿形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_BIG_MONKEY]
Can't use skill while great orange.	0ca7a4ad841d	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_GREAT_ORANGE | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_GREAT_ORANGE	不能在巨大橙色形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_GREAT_ORANGE] | 不能在巨大橙色形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_GREAT_ORANGE]
Can't use skill while king namek.	f84bde38135e	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_KING_NAMEK | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_KING_NAMEK	不能在王那美克形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_KING_NAMEK]
Can't use skill while legendary super saiyan.	8ba4f56d9943	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANL | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANL	不能在传说超级赛亚人形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANL] | 不能在传说超级赛亚人形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANL]
Can't use skill while majin super saiyan.	ffb11cc3ac97	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANMAJIN | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANMAJIN	不能在魔人超级赛亚人形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANMAJIN] | 不能在魔人超级赛亚人形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANMAJIN]
Can't use skill while mystic majin.	b7e54e79097a	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_MYSTIC_MAJIN | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_MYSTIC_MAJIN	
Can't use skill while namek super saiyan.	145b3cf6b7e6	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANNAMEK | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANNAMEK	不能在那美克超级赛亚人形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANNAMEK] | 不能在那美克超级赛亚人形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANNAMEK]
Can't use skill while super boo 2.	0ea3f8da8c35	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_BOO2 | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_BOO2	不能在超级布欧2形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_BOO2]
Can't use skill while super boo.	345361255e06	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_BOO | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_BOO	不能在超级布欧形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_BOO]
Can't use skill while super saiyan 2.	ed144077b345	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN2 | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN2	不能在超级赛亚人2形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN2]
Can't use skill while super saiyan 4.	1d9e33c38050	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN4 | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN4	不能在超级赛亚人4形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN4] | 不能在超级赛亚人4形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN4]
Can't use skill while super saiyan blue.	7a946d61a8c5	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANBLUE | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANBLUE	不能在超级赛亚人蓝形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANBLUE]
Can't use skill while super saiyan god super saiyan.	ca9a37bbf96e	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN33 | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN33	不能在超级赛亚人蓝形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN33] | 不能在超级赛亚人蓝形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN33]
Can't use skill while super saiyan God.	d353edfc3b54	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN3 | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN3	不能在超级赛亚人之神形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN3] | 不能在超级赛亚人之神形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYAN3]
Can't use skill while super saiyan rose.	b2c917973715	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANROSE | lang0:lang0.pak:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANROSE	不能在超级赛亚人桃红形态下使用技能。 [taiwan:local_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANROSE] | 不能在超级赛亚人桃红形态下使用技能。 [taiwan:local_sync_data.dat:GAME_SKILL_CANT_USE_SKILL_WHEN_SUPER_SAIYANROSE]
Cannot register in current state.	aee520860708	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_PARTYMATCHING_REGISTER_WRONG_STATE | lang0:lang0.pak:GAME_PARTYMATCHING_REGISTER_WRONG_STATE	
Cannot restructure this grade.	0de76b6840d6	2	2	lang0,taiwan	taiwan:local_data.dat:DST_ITEM_OPTION_RESTRUCTURE_CANNOT_GRADE_ERR | lang0:lang0.pak:DST_ITEM_OPTION_RESTRUCTURE_CANNOT_GRADE_ERR	
Cannot roll dice in current state.	267f841748c8	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_ITEM_DICE_FAIL_LIMITED_STATE | lang0:lang0.pak:GAME_ITEM_DICE_FAIL_LIMITED_STATE	
Cannot seal summoned pet.	e64151aeddb9	2	2	lang0,taiwan	taiwan:local_data.dat:DST_MASCOTEX_MASCOTSEAL_SUMMON_MASCOT | lang0:lang0.pak:DST_MASCOTEX_MASCOTSEAL_SUMMON_MASCOT	
Cannot toggle aura while Kaioken Boost is active.	9a27bdb5a943	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_CANNOT_TOGGLE_AURA_WITH_KAIOKEN | lang0:lang0.pak:GAME_CANNOT_TOGGLE_AURA_WITH_KAIOKEN	
Capsule Kit	0369021bbe93	2	2	lang0,tbl	lang0:lang0.pak:DST_MARKET_CAPSULE_KIT | tbl:tbl1.pak:0x01867293	胶囊套装 [lang0:lang0.pak:DST_MARKET_CAPSULE_KIT]
Card Count	0de6121c349a	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_CARDCOUNT | lang0:lang0.pak:DST_DWC_CARDCOUNT	
Card Grade	e5addc7251f8	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_CARD_GRADE | lang0:lang0.pak:DST_DWC_CARD_GRADE	卡片等级 [taiwan:local_data.dat:DST_DWC_CARD_GRADE]
Casual Outfit	674100f05c08	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111703020:0 | tbl:tbl1.pak:0x0169345B	
Cat Ears	5b43f1b0411f	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000226:0 | tbl:tbl1.pak:0x014B4A0B	
Character Info	2725d0d11899	2	2	lang0,tbl	lang0:lang0.pak:DST_LOBBY_CARACTER_INFO | tbl:tbl1.pak:0x01867307	角色信息 [lang0:lang0.pak:DST_LOBBY_CARACTER_INFO]
ColdFire Cowboy	e43b596c4f49	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111703000:0 | tbl:tbl1.pak:0x0169338B	
ColdFire Gladiator	547a582ff057	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111702990:0 | tbl:tbl1.pak:0x01693311	
Combat info	2b0b418940fd	2	2	lang0,tbl	lang0:lang0.pak:DST_OPTION_INFO_DAMAGE_RENDER | tbl:tbl1.pak:0x017F7A18	战斗信息 [lang0:lang0.pak:DST_OPTION_INFO_DAMAGE_RENDER]
Compensation Box	c79d477a3795	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:700010691:0 | tbl:tbl1.pak:0x016AE4B1	
Condition Status	de585015ab50	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_CONDITION_STATE | lang0:lang0.pak:DST_DWC_CONDITION_STATE	
Cooldown	98fd67d93f41	2	2	lang0,tbl	lang0:lang0.pak:DST_INFOWND_RPBONUS_COOLTIME | tbl:tbl1.pak:0x01863767	冷却 [lang0:lang0.pak:DST_INFOWND_RPBONUS_COOLTIME]
Dabura Outfit [Red]	2e12515bcbac	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111702900:0 | tbl:tbl1.pak:0x01692E0D	
Daily Package (Basic)	51b9c0b7e617	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:13:10100300:0 | tbl:tbl1.pak:0x0186B29D	
Daily Package (Epic)	02ad659f5525	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:13:10100340:0 | tbl:tbl1.pak:0x0186B47B	
Daily Package (Legendary)	0a2b6e88856c	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:13:10100350:0 | tbl:tbl1.pak:0x0186B4E7	
DANDANDAN Glasses	529d5ff6d789	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000225:0 | tbl:tbl1.pak:0x014B49E3	
Dark Warrior	ad7a940f7168	2	2	lang0,tbl	lang0:lang0.pak:DST_DARK_WARRIOR | tbl:tbl1.pak:0x01862F5D	魔导战士 [lang0:lang0.pak:DST_DARK_WARRIOR]
Dead Pig	a391c15c5d75	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:5:12131021:0 | tbl:tbl1.pak:0x0170ACAB	
DEF Test Center	4048cd05c812	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:10:100150000:0 | tbl:tbl1.pak:0x0180D5D4	
DEF Test Center;	120973dc2c3b	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:10:200250000:0 | tbl:tbl1.pak:0x01816410	
Defense Rate	f84a6f307fee	2	2	lang0,tbl	lang0:lang0.pak:DST_PET_STATUS_BLOCK_RATE | tbl:tbl1.pak:0x01860573	
Dende (Earth's Guardian)	1d945168d526	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:1381113:0 | tbl:tbl1.pak:0x017228DA	
Dende Priest	9470e1f0d859	2	2	lang0,tbl	lang0:lang0.pak:DST_DENDEN_HEALER | tbl:tbl1.pak:0x01862FB7	天天导师 [lang0:lang0.pak:DST_DENDEN_HEALER]
Derieri Outfit	f52ee3ae4bdb	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000239:0 | tbl:tbl1.pak:0x014B4BA5	
Dice item not found.	8796d5906639	2	2	lang0,taiwan	taiwan:local_sync_data.dat:GAME_ITEM_DICE_FAIL_NOT_FIND | lang0:lang0.pak:GAME_ITEM_DICE_FAIL_NOT_FIND	
Difficulty Level	5a1d0ceed85d	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_PLAY_LEVEL | lang0:lang0.pak:DST_DWC_PLAY_LEVEL	
Dinosaur Leader	05ba1107ef4a	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:5:12131023:0 | tbl:tbl1.pak:0x0170ACDF	
Disables all visual effects for maximum performance (Overrides Player Filter, hides all players, pets and mascots)	488a8001f75e	2	2	lang0,taiwan	taiwan:local_data.dat:DST_OPTION_TOOLTIP_PERFORMANCE_MODE | lang0:lang0.pak:DST_OPTION_TOOLTIP_PERFORMANCE_MODE	
Divine	1b8cf090e6ef	2	2	lang0,tbl	lang0:lang0.pak:DST_ITEM_GRADE_HERO | tbl:tbl0.pak:0x01399D1D	神圣 [lang0:lang0.pak:DST_ITEM_GRADE_HERO]
Divine Retribution	36bb1ed3eb81	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:7:8107710:0 | tbl:tbl1.pak:0x017B82BF	
Dog Flute of Mero	efb7435ae766	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:980340:0 | tbl:tbl1.pak:0x013140D1	
Dogi Merchant	66907fbce6b4	2	2	lang0,tbl	lang0:lang0.pak:DST_JOB_DOGI_MERCHANT | tbl:tbl1.pak:0x01714D00	
Dogi Preview Merchant	8d36a9d2ae9d	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:1381114:0 | tbl:tbl1.pak:0x01722910	
Dojo Seal	f0b0ced0af85	2	2	lang0,tbl	lang0:lang0.pak:DST_JOB_DOJO_SEAL | tbl:tbl1.pak:0x0172705C	
Dojo Tournament	fb7c347620fd	2	2	lang0,taiwan	taiwan:local_data.dat:DST_BUDOKAI_NOTICE_GUIDE_DOJO_TITLE | lang0:lang0.pak:DST_BUDOKAI_NOTICE_GUIDE_DOJO_TITLE	
Dragon Ball Lost!!	90dd6f552b46	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_DROP_MSG | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_DROP_MSG	龙珠丢失!! [taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_DROP_MSG]
Dragon Ball Scramble App.	2062d35565f9	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_CONFIRM_TITLE | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_CONFIRM_TITLE	
Dragon Ball Scramble Event End	d86f5cc88f21	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_SEASON_END_NFY | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_SEASON_END_NFY	
Dragon Ball Scramble Event Started	8b5683dee36a	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_SEASON_BEGIN_NFY | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_SEASON_BEGIN_NFY	
Dragon Ball Scramble Event!	933327059a6f	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_CHANNEL_INFO | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_CHANNEL_INFO	
Dragon World Championship failed.	7f25b2d68de6	2	2	lang0,taiwan	taiwan:local_sync_data.dat:DWC_FAIL | lang0:lang0.pak:DWC_FAIL	
Drop Sell	99cd286609b9	2	2	lang0,taiwan	taiwan:local_data.dat:DST_OPTION_TAB_DROP_SELL | lang0:lang0.pak:DST_OPTION_TAB_DROP_SELL	出售 [lang0:lang0.pak:DST_OPTION_TAB_DROP_SELL]
Dropped To pick up	db3ac38bd5a1	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_CONFIRM_GET_1 | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_CONFIRM_GET_1	已掉落，可拾取 [taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_CONFIRM_GET_1]
Drum	32bad1d2cace	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRUM | lang0:lang0.pak:DST_DRUM	鼓 [taiwan:local_data.dat:DST_DRUM] | 鼓 [lang0:lang0.pak:DST_DRUM]
Dual Gun	4171d67af7d8	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DUALDST_GUN | lang0:lang0.pak:DST_DUALDST_GUN	
Durability	74dd08678521	2	2	lang0,tbl	lang0:lang0.pak:DST_SCOUTER_ENDURANCE | tbl:tbl1.pak:0x01863261	
DWC Completed. Press V to open the main menu.	1a15cd0b452f	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_SIDE_VIEW | lang0:lang0.pak:DST_DWC_SIDE_VIEW	
DWC Entry Status	4bd4752ca41d	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_FIELD_ENTER | lang0:lang0.pak:DST_DWC_FIELD_ENTER	
DWC Info	ab08797af0f7	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_INFO_COMMAND | lang0:lang0.pak:DST_DWC_INFO_COMMAND	
DWC Scenario List	520dba04df93	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_SCENARIO_LIST | lang0:lang0.pak:DST_DWC_SCENARIO_LIST	
Earned %d Dragon Ball	46b2524ede02	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_LOOT_BATTLE_DRAGONBALL | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_LOOT_BATTLE_DRAGONBALL	
Earned %d Mudosa	a6d4ea299743	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_GAIN_BUDOJI_MILEAGE | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_GAIN_BUDOJI_MILEAGE	获得%d武道币 [taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_GAIN_BUDOJI_MILEAGE]
Effect	720b5dbc5319	2	2	lang0,tbl	lang0:lang0.pak:DST_ITEM_ADDITIONAL_EFFECT | tbl:tbl1.pak:0x01867F1D	效果 [lang0:lang0.pak:DST_ITEM_ADDITIONAL_EFFECT]
Energy 	a0bebebd5432	2	2	lang0,tbl	lang0:lang0.pak:DST_SYSTEMEFFECT_ENERGY | tbl:tbl1.pak:0x0165572F	
Energy Attack	d7917e01c16d	2	2	lang0,tbl	lang0:lang0.pak:DST_PET_STATUS_ENERGY_OFFENSE | tbl:tbl1.pak:0x01860501	气功攻击力 [lang0:lang0.pak:DST_PET_STATUS_ENERGY_OFFENSE]
Energy Defense	2b88a899b17e	2	2	lang0,tbl	lang0:lang0.pak:DST_PET_STATUS_ENERGY_DEFENSE | tbl:tbl1.pak:0x01860521	气功防御力 [lang0:lang0.pak:DST_PET_STATUS_ENERGY_DEFENSE]
Enter DWC	fb3f63aa7915	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_FIELD_ENTER_COMMAND | lang0:lang0.pak:DST_DWC_FIELD_ENTER_COMMAND	进入DWC [taiwan:local_data.dat:DST_DWC_FIELD_ENTER_COMMAND]
Entrance Conditions	e8c406bfa1a1	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_ENTER_CONDITION | lang0:lang0.pak:DST_DWC_ENTER_CONDITION	
Entry Details	72445ef61724	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_SCENARIO_CONDITION_TITLE | lang0:lang0.pak:DST_DWC_SCENARIO_CONDITION_TITLE	
Equipment	36155d48f460	2	2	lang0,tbl	lang0:lang0.pak:DST_YARDRAT_TAB_EQUIPMENT | tbl:tbl1.pak:0x0186B9D4	
Erza Hair	d12576969849	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000214:0 | tbl:tbl1.pak:0x014B48F3	艾露莎发型 [taiwan:table_text_all_data.rdf:3:7000214:0]
Events	c5497bca5846	2	2	lang0,taiwan	taiwan:local_data.dat:DST_HOIPOIMIX_RECIPE_FILTER_EVENT | lang0:lang0.pak:DST_HOIPOIMIX_RECIPE_FILTER_EVENT	
Excessive play can disturb their daily life.	dfb802cdaedd	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DELIBERATION_RANK_MESSAGE_LASTMSG | lang0:lang0.pak:DST_DELIBERATION_RANK_MESSAGE_LASTMSG	
Failed to use guard item on mascot.	33ba79cf3cb5	2	2	lang0,taiwan	taiwan:local_sync_data.dat:MASCOT_FAIL_GUARD_ITEM_USE_FAIL | lang0:lang0.pak:MASCOT_FAIL_GUARD_ITEM_USE_FAIL	未能对吉祥物使用守护道具。 [taiwan:local_data.dat:MASCOT_FAIL_GUARD_ITEM_USE_FAIL] | 未能对吉祥物使用守护道具。 [taiwan:local_sync_data.dat:MASCOT_FAIL_GUARD_ITEM_USE_FAIL]
Fainted	9e3b252e1088	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_CONFIRM_DROP_1 | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_CONFIRM_DROP_1	昏迷 [taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_CONFIRM_DROP_1]
Fajita	a1a41f8b713e	2	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:1211301:0 | tbl:tbl1.pak:0x017220E2	肥吉塔 [taiwan:table_text_all_data.rdf:6:1211301:0]
